id,parent_id,title,uri
0-up,,org,/org/
3933,3907,"""Трактор""",/org/sportorganizazii/hockeyteams/traktor/
3917,3907,ЦСКА,/org/sportorganizazii/hockeyteams/hccska/
3934,3907,"""Югра""",/org/sportorganizazii/hockeyteams/yugra/
3914,245,Баскетбольные клубы,/org/sportorganizazii/basketteams/
3915,3914,ПБК ЦСКА,/org/sportorganizazii/basketteams/pbkcska/
4354,3914,"БК ""Химки""",/org/sportorganizazii/basketteams/bkhimki/
2213,245,ФИФА,/org/sportorganizazii/FIFA/
561,245,Российский футбольный союз,/org/sportorganizazii/rosfutbsouz/
562,561,Сборная России по футболу,/org/sportorganizazii/rosfutbsouz/sbornfutbrus/
414,245,УЕФА,/org/sportorganizazii/uefa/
1302,245,Российская премьер-лига,/org/sportorganizazii/rfl/
1830,245,Федерация хоккея России,/org/sportorganizazii/fedhokkei/
2957,1830,Сборная России по хоккею,/org/sportorganizazii/fedhokkei/hoksbornaya/
531,245,МОК,/org/sportorganizazii/mok/
475,245,Олимпийский комитет России,/org/sportorganizazii/olimpkomitetros/
3773,3287,Саратов,/region/pfo/saratovobl/saratov/
4323,245,Спортивный арбитражный суд (CAS),/org/sportorganizazii/cas/
2393,245,WADA,/org/sportorganizazii/vada/
1563,245,Всероссийская федерация волейбола,/org/sportorganizazii/voleibol/
1974,245,Всероссийская федерация легкой атлетики,/org/sportorganizazii/atletika/
1034,245,"Всероссийское добровольное общество ""Спортивная Россия""",/org/sportorganizazii/sportros/
1602,245,Международный союз биатлонистов,/org/sportorganizazii/biatlon/
1303,245,Российская федерация баскетбола,/org/sportorganizazii/fbr/
2355,245,Федерация дзюдо,/org/sportorganizazii/federdzydo/
412,245,Федерация тенниса России,/org/sportorganizazii/federatsija/
1348,245,Федерация фигурного катания,/org/sportorganizazii/fedfigurnogo/
1306,245,Федерация хоккея с мячом России,/org/sportorganizazii/fhsm/
3467,0,Москва,/org/moscow/
3468,3467,Правительство Москвы,/org/moscow/govmoscow/
3469,3467,Мэр Москвы,/org/moscow/mermoscow/
3470,3467,Московская городская дума,/org/moscow/mosgorduma/
3472,3467,ГУМВД Москвы,/org/moscow/guvdmoscow/
3473,3467,ГИБДД Москвы,/org/moscow/gibddmoscow/
3471,3467,Прокуратура Москвы,/org/moscow/prokmoscow/
4046,0,Московская область,/org/podmoskovie/
4047,4046,Губернатор Московской области,/org/podmoskovie/gubernator/
4048,4046,Правительство Московской области,/org/podmoskovie/pravitelstvo/
4049,4046,Мособлдума,/org/podmoskovie/mosoblduma/
375,0,"""Российская газета""",/org/rg/
4142,375,"Журнал ""Родина""",/org/rg/rodina/
3943,0,Филиалы РГ,/org/filial/
3944,3943,Башкортостан,/org/filial/bashkortostan/
3958,3943,Волга-Кама,/org/filial/volga-kama/
3946,3943,Восточная Сибирь,/org/filial/enisey/
3945,3943,Дальний Восток,/org/filial/dvostok/
4161,3943,Крым,/org/filial/krym/
3948,3943,Кубань. Северный Кавказ,/org/filial/kuban/
3950,3943,Пермский край,/org/filial/permkray/
3951,3943,Приволжье,/org/filial/privolzhe/
3952,3943,РГ за рубежом,/org/filial/rbth/
3956,3943,Северо-Запад,/org/filial/szapad/
3954,3943,Сибирь,/org/filial/sibir/
3955,3943,Средняя Волга,/org/filial/svolga/
